Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.1.27,    P-GMS-QQ-999-00009,1,"Gas Spring with Threaded Ends 80 Lbs Force: 8.15"" Ext. Length: 3.54"" Stroke",,EA,Nor,P,MCM010,5,HWARE,EA,9416K315,McMaster-Carr,2.17
1.1.28,    P-GSA-UQ-999-00001,4,13 mm Ball Stud; 5/16-18 Thread,,EA,Nor,P,MCM010,5,HWARE,EA,9512K21,McMaster-Carr,4.78
1.1.29,    P-KMQ-QB-999-00008,1,Fold-Away Handle,,EA,Nor,P,MCM010,5,HWARE,EA,62705K410,McMaster-Carr,25.76
1.1.30,    P-NFE-ZZ-999-31000,6,"Zinc-Plated Steel Round Eye Nut - for Lifting: 5/16""-18 Thread Size",,EA,Nor,P,MCM010,5,HWARE,EA,3112T32,McMaster-Carr,5.14
1.1.31,    P-NYH-UQ-998-08000,4,M8 x 1.25 Standard Hex Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,MJ2580000A20000,Fastenal,0.24
1.1.32,    P-NYN-UQ-999-31000,34,"5/16""-18 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170104,Fastenal,12.99
1.1.33,    P-NYN-UQ-999-31001,35,"5/16""-18 Jam Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,129157,Fastenal,0.13
1.1.34,    P-NYN-UQ-999-38001,7,"3/8""-16 Jam Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,129158,Fastenal,0.6578
1.1.35,    P-NYN-UQ-999-50000,1,"1/2""-13 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170864,Fastenal,0.9198
1.1.36,    P-QFQ-ZB-999-00001,2,"Tool Holder: Black Vinyl-Coated Steel: for 3/8"" - 5/8"" Tool Diameter",,EA,Nor,P,MCM010,5,HWARE,EA,1723A63,McMaster-Carr,2.12
1.1.37,    P-QMQ-UB-999-00014,5,"3/4"" OD Rubber Bumper: 5'16""-18 Female Thread",,EA,Nor,P,MCM010,5,HWARE,PG,9546K43,McMaster-Carr,0.84
1.1.38,    P-QPQ-UB-999-00013,2,"Polyethylene Tube Plug: Ribbed: For 1"" Tube OD",,EA,Nor,P,MCM010,5,HWARE,PG,9565K52,McMaster-Carr,0.12
1.1.39,    P-WPQ-UW-999-50000,2,"1/2"" x 0.89"" OD UHMW Washer",,EA,Nor,P,MCM010,5,HWARE,PG,95649A244,McMaster-Carr,6.25
1.1.40,    P-WTQ-UW-999-38000,8,"3/8"" PTFE Plastic Washer",,EA,Nor,P,MCM010,5,HWARE,PG,95630A256,McMaster-Carr,1.13
1.1.41,    P-WYL-UQ-998-08000,4,M8 Split Lock Washer; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,ML6380000A20000,Fastenal,0.1054
1.1.42,    P-WYL-UQ-999-31000,10,"5/16"" Split Lock Washer; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,1171065,Fastenal,0.07
1.1.43,    P-WYN-UQ-999-50000,3,"1/2"" Flat Washer; 1"" OD",,EA,Nor,P,MCM010,5,HWARE,PG,92217A540,McMaster-Carr,0.61
1.1.44,    P-WYQ-UQ-999-31000,103,"5/16"" x 3/4"" OD Flat Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1171015,Fastenal,8.44
1.1.45,    P-WYQ-UQ-999-38000,10,"3/8"" x 7/8"" OD Flat Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1171017,Fastenal,4.13
1.2,  P3B-XPC-001-0028,1,XPS-G2 STANDARD WING BALLISTIC PANELS - LEVEL 4,,EA,Pht,F,PAT003,PB,P3B,EA,,Patriot3,
1.2.1,    B-DKP-LB-005-00026,2,XPS-G2 UPPER WING PANEL: NO CUTOUTS: LEVEL 4,A,EA,Nor,P,LTC010,2,P3B,EA,,LTC,1121
1.2.2,    B-DKP-LB-005-00027,1,XPS-G2 LOWER LH WING PANEL: LEVEL 4,A,EA,Nor,P,LTC010,2,P3B,EA,,LTC,
1.2.3,    B-DKP-LB-005-00028,1,XPS-G2 LOWER WING: RH: NIJ 4,A,EA,Nor,P,LTC010,2,P3B,EA,,LTC,
1.3,    P-NYN-UQ-999-31000,34,"5/16""-18 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170104,Fastenal,12.99
1.4,    P-NYN-UQ-999-31001,35,"5/16""-18 Jam Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,129157,Fastenal,0.13
1.5,    P-NYN-UQ-999-38001,7,"3/8""-16 Jam Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,129158,Fastenal,0.6578
1.6,    P-NYN-UQ-999-50000,1,"1/2""-13 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170864,Fastenal,0.9198
