Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.2.3.1.4,        F-DAT-UQ-003-00117,1,LIBERATOR FAST TOP BRACE PIPE,,EA,PHT,F,FAB010,3,P3E,EA,AT3117,Fab Tech,
1.2.3.2,      A-WSQ-SQ-001-00651,2,FAST CABLE MOUNT,,EA,NOR,P,FAB010,3,P3E,EA,WD1651,Fab Tech,
1.2.3.2.1,        F-DSF-UQ-001-00025,1,FAST CABLE MOUNT BASE,,EA,PHT,F,FAB010,3,P3E,EA,SF1025,Fab Tech,
1.2.3.2.2,        F-DSP-UQ-001-00034,1,FAST CABLE EYE,,EA,PHT,F,FAB010,3,P3E,EA,SP1034,Fab Tech,
1.2.3.3,      F-DAM-AB-001-00001,4,CABLE MOUNT SPACER,,EA,Nor,P,FAB010,3,P3E,EA,AM1001,Fab Tech,16
1.2.3.4,      F-DAR-AB-001-00010,2,FAST TOWER CONNECTOR,,EA,Nor,P,FAB010,3,P3E,EA,AR1010,Fab Tech,
1.2.3.5,      F-DSP-SQ-001-00033,1,FAST HOOK PLATE,,EA,Nor,P,FAB010,3,P3E,EA,SP1033,Fab Tech,42
1.2.3.6,      P-FYH-UQ-998-10030-F,2,M10 x 30 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82600030A20000,Fastenal,25.25
1.2.3.7,      P-FYH-UQ-998-10070-P,4,M10 x 70 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,M72600070A20000,Fastenal,1.65
1.2.3.8,      P-NYN-UQ-998-10000,6,M10 x 1.5 Nylock Nut; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2600000A20000,Fastenal,47.68
1.2.3.9,      P-WYQ-UQ-998-10000,12,M10 x 20mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6400000A20000,Fastenal,7.8
1.2.4,    F-DAF-FY-001-01339,1,FAST TRAINING BAR,,EA,Nor,P,FAB010,3,P3E,EA,AF11339,Fab Tech,
1.2.5,    F-DAT-AB-001-00129,2,FAST TOWER LOWER PIPE,,EA,Nor,P,FAB010,3,P3E,EA,AT1129,Fab Tech,58
1.2.6,    P-LNQ-UB-999-00001,1,"Black 22"" x 20"" x 12"" Flight Kit Bag",,EA,Nor,P,ADS010,5,HWARE,EA,6342,ADS: Inc.,20.75
1.2.7,    P-PFR-ZZ-999-38175,2,"3/8"" x 1-3/4"" Round Snapper Pin",,EA,Nor,P,MCM010,5,HWARE,EA,98416A219,McMaster-Carr,
1.2.8,    P-QFQ-QQ-999-00003,1,"Locking Safety Snap Double-Lock: 1-15/16"" Wide Throat: 5000# Proof Load",,EA,Nor,P,MCM010,5,HWARE,EA,3927T43,McMaster-Carr,38.8
1.2.9,    P-QFQ-ZZ-999-00007,1,"Oval Threaded Connector: 5/16"" Dia.",,EA,Nor,P,MCM010,5,HWARE,EA,3711T24,McMaster-Carr,6.79
1.2.10,    P-QNQ-UO-999-00001,1,30' Fast Rope: Spectra Loop End,,EA,Nor,P,OCE010,3,P3E,EA,550030-8SGEO,Ocean Products Inc.,633.48
1.3,  P3E-FSC-001-0154,1,2016 BEARCAT G2 ARC FOLDING STAIRS,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.3.1,    A-VAQ-TB-003-00760,1,NEWINGTON FOLDING STAIRS LOWER ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.3.1.1,      A-VAQ-TB-003-00761,1,LOWER STAIR SUBASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.3.1.1.1,        A-WAQ-AB-003-00077,7,FOLDING STAIRS TREAD WELDMENT,,EA,NOR,P,FAB010,3,P3E,EA,WD3077,Fab Tech,
1.3.1.1.1.1,          F-DAS-UQ-001-00099,2,STAIR TREAD END PLATE,,EA,PHT,F,FAB010,3,P3E,EA,AS1099,Fab Tech,
1.3.1.1.1.2,          F-SAG-UQ-003-00012,1,FOLDING STAIR TREAD,,EA,PHT,F,FAB010,3,P3E,EA,GS3012,Fab Tech,
1.3.1.1.2,        A-WAQ-AB-003-00086,1,FOLDING STAIR BOTTOM PLATE WELDMENT,A,EA,NOR,P,FAB010,3,P3E,EA,WD3086,Fab Tech,
1.3.1.1.2.1,          F-DAP-UQ-001-00008,2,STAIR BOTTOM PLATE END CAP,,EA,PHT,F,FAB010,3,P3E,EA,AP1008,Fab Tech,
1.3.1.1.2.2,          F-SAA-UQ-003-00029,1,STAIR BOTTOM PLATE ANGLE,,EA,PHT,F,FAB010,3,P3E,EA,AA3029,Fab Tech,
1.3.1.1.2.3,          F-SAD-UQ-003-00001,1,STAIR BOTTOM DIAMOND PLATE,A,EA,PHT,F,FAB010,3,P3E,EA,AD3001,Fab Tech,
1.3.1.1.2.4,          F-SAH-UQ-003-00003,1,STAIR BOTTOM PLATE HINGE,,EA,PHT,F,FAB010,3,P3E,EA,AH3003,Fab Tech,
1.3.1.1.3,        A-WAQ-AB-003-00208,1,STAIRS LOWER SIDE ASSY; LH,,EA,NOR,P,FAB010,3,P3E,EA,WD3208,Fab Tech,
1.3.1.1.3.1,          F-DAS-UQ-003-00045,1,FOLDING STAIR LOWER SIDE: LH,,EA,PHT,F,FAB010,3,P3E,EA,AS3045,Fab Tech,
1.3.1.1.3.2,          F-DAS-UQ-003-00052,1,FOLDING STAIR BOTTOM CAP,,EA,PHT,F,FAB010,3,P3E,EA,AS3052,Fab Tech,
1.3.1.1.4,        A-WAQ-AB-003-00209,1,STAIRS LOWER SIDE ASSY; RH,,EA,NOR,P,FAB010,3,P3E,EA,WD3209,Fab Tech,
1.3.1.1.4.1,          F-DAS-UQ-003-00046,1,FOLDING STAIR LOWER SIDE: RH,,EA,PHT,F,FAB010,3,P3E,EA,AS3046,Fab Tech,
1.3.1.1.4.2,          F-DAS-UQ-003-00052,1,FOLDING STAIR BOTTOM CAP,,EA,PHT,F,FAB010,3,P3E,EA,AS3052,Fab Tech,
1.3.1.1.5,        A-WAQ-AB-003-00210,1,STAIRS MALE HINGE ASSY; LH,A,EA,NOR,P,FAB010,3,P3E,EA,WD3210,Fab Tech,
1.3.1.1.5.1,          F-DAP-UQ-003-00045,1,FOLDING STAIR MALE HINGE,,EA,PHT,F,FAB010,3,P3E,EA,AP3045,Fab Tech,
1.3.1.1.5.2,          F-DAP-UQ-003-00046,1,FOLDING STAIR HINGE SPACER,,EA,PHT,F,FAB010,3,P3E,EA,AP3046,Fab Tech,
