Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.2.1,    F-DSS-UQ-001-00002,1,RAMP HAND RAIL BRACKET,A,EA,Pht,F,FAB010,3,P3E,EA,SS1002,Fab Tech,
1.2.2,    F-DSS-UQ-001-00008,1,HAND RAIL BRACET LEG,B,EA,Nor,P,FAB010,3,P3E,EA,SS1008,Fab Tech,
1.3,  A-WSQ-SQ-003-00213,1,STAIRS SHORT HAND RAIL,,EA,Nor,P,FAB010,3,P3E,EA,WD3213,Fab Tech,
1.3.1,    F-DST-UQ-003-00039,1,FOLDING STAIR SHORT HAND RAIL,,EA,Pht,F,FAB010,3,P3E,EA,ST3039,Fab Tech,
1.3.2,    P-QSQ-UQ-999-00013,2,"SS Weld-On Ring; 1 Dia.""",,EA,Pht,F,FAB010,5,HWARE,EA,3769T71,McMaster-Carr,1.15
1.4,  A-WSQ-SQ-003-00214,1,STAIRS LOWER LONG HAND RAIL,,EA,Nor,P,FAB010,3,P3E,EA,WD3214,Fab Tech,
1.4.1,    F-DST-UQ-003-00038,1,FOLDING STAIR LONG HAND RAIL,,EA,Pht,F,FAB010,3,P3E,EA,ST3038,Fab Tech,
1.4.2,    P-QSQ-UQ-999-00013,2,"SS Weld-On Ring; 1 Dia.""",,EA,Pht,F,FAB010,5,HWARE,EA,3769T71,McMaster-Carr,1.15
1.5,  F-DAS-AB-001-00098,2,FOLDING STAIR UPPER BRACE,A,EA,Nor,P,FAB010,3,P3E,EA,AS1098,Fab Tech,
1.6,  F-DAS-AB-003-00018,2,STAIR LOWER SIDE BRACE,A,EA,Nor,P,FAB010,3,P3E,EA,AS3018,Fab Tech,
1.7,  F-DSF-SQ-001-00001,4,HAND RAIL TAP STRIP,,EA,Nor,P,FAB010,3,P3E,EA,SF1001,Fab Tech,
1.8,  F-SAL-AB-003-00004,6,FOLDING STAIR LADDER RUNG,,EA,Nor,P,FAB010,3,P3E,EA,LR3004,Fab Tech,
1.9,  P-FFU-ZZ-999-31250-P,12,"5/16 U-Bolt for 1-3/8"" OD",,EA,Nor,P,MCM010,5,HWARE,EA,3043T65,McMaster-Carr,1.08
1.10,  P-FYH-UQ-998-08020-F,20,M8 x 20 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580020A20000,Fastenal,1.75
1.11,  P-FYH-UQ-998-08040-F,4,M8 x 40 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6400000A20000,Fastenal,7.8
1.12,  P-NYN-UQ-998-08000,16,M8 x 1.25 Nylock Nut; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2580000A20000,Fastenal,7.8
1.13,  P-NYN-UQ-999-31000,24,5/16-18 Nylock Nut,,EA,Nor,P,FAS010,5,HWARE,PG,1170104,Fastenal,12.99
1.14,  P-PYO-UQ-999-38225,4,"3/8"" X 2-1/4"" Roll Pin; 18-8 SS",,EA,Nor,P,FAB010,5,HWARE,EA,SS1020,Fastenal,3.41
1.15,  P-PYS-UQ-999-38225,4,"3/8"" x 2-1/4"" Snapper Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,MW6380000A20000,Fastenal,0.5449
1.16,  P-QPQ-UB-999-00006,12,"Round Finishing Plug for 1-1/4"" Tube",,EA,Nor,P,MCM010,5,HWARE,PG,9283K15,McMaster-Carr,10.67
1.17,  P-WYL-UQ-998-08000,8,M8 Split Lock Washer; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,ML6380000A20000,Fastenal,10.54
1.18,  P-WYQ-UQ-998-08000,40,M8 x 16mm OD Flat Washer; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580025A20000,Fastenal,18.28
